fact_id,recalled,position_pct,category,density,batch_size,compaction_pct,strategy,conv_tokens,experiment
LM_0122,0,0.3,knowledge-update,120,1,0,none,190000,calibration
LM_0124,0,2.9,knowledge-update,120,1,0,none,190000,calibration
LM_0125,0,5.8,knowledge-update,120,1,0,none,190000,calibration
LM_0126,0,6.9,knowledge-update,120,1,0,none,190000,calibration
LM_0127,0,9.5,knowledge-update,120,1,0,none,190000,calibration
LM_0131,0,12.4,knowledge-update,120,1,0,none,190000,calibration
LM_0132,1,14.7,knowledge-update,120,1,0,none,190000,calibration
LM_0134,1,17.3,knowledge-update,120,1,0,none,190000,calibration
LM_0135,1,19.5,knowledge-update,120,1,0,none,190000,calibration
LM_0137,0,21.8,knowledge-update,120,1,0,none,190000,calibration
LM_0141,1,24.4,knowledge-update,120,1,0,none,190000,calibration
LM_0143,0,26.9,knowledge-update,120,1,0,none,190000,calibration
LM_0149,0,29.4,knowledge-update,120,1,0,none,190000,calibration
LM_0151,1,31.7,knowledge-update,120,1,0,none,190000,calibration
LM_0152,1,34.4,knowledge-update,120,1,0,none,190000,calibration
LM_0154,0,37.0,knowledge-update,120,1,0,none,190000,calibration
LM_0156,0,39.6,knowledge-update,120,1,0,none,190000,calibration
LM_0159,1,42.2,knowledge-update,120,1,0,none,190000,calibration
LM_0160,1,44.4,knowledge-update,120,1,0,none,190000,calibration
LM_0164,1,47.1,knowledge-update,120,1,0,none,190000,calibration
LM_0166,0,50.0,knowledge-update,120,1,0,none,190000,calibration
LM_0167,1,50.9,knowledge-update,120,1,0,none,190000,calibration
LM_0168,0,51.6,knowledge-update,120,1,0,none,190000,calibration
LM_0169,0,52.0,knowledge-update,120,1,0,none,190000,calibration
LM_0170,0,52.9,knowledge-update,120,1,0,none,190000,calibration
LM_0173,0,53.7,knowledge-update,120,1,0,none,190000,calibration
LM_0174,0,54.5,knowledge-update,120,1,0,none,190000,calibration
LM_0182,0,55.3,knowledge-update,120,1,0,none,190000,calibration
LM_0183,0,56.1,knowledge-update,120,1,0,none,190000,calibration
LM_0185,0,56.8,knowledge-update,120,1,0,none,190000,calibration
LM_0186,1,57.6,knowledge-update,120,1,0,none,190000,calibration
LM_0187,1,58.5,knowledge-update,120,1,0,none,190000,calibration
LM_0188,0,59.4,knowledge-update,120,1,0,none,190000,calibration
LM_0194,0,60.2,knowledge-update,120,1,0,none,190000,calibration
LM_0195,0,60.7,knowledge-update,120,1,0,none,190000,calibration
LM_0198,1,61.1,knowledge-update,120,1,0,none,190000,calibration
LM_0199,0,62.0,knowledge-update,120,1,0,none,190000,calibration
LM_0200,0,62.8,single-session-preference,120,1,0,none,190000,calibration
LM_0201,1,63.1,single-session-preference,120,1,0,none,190000,calibration
LM_0203,0,64.3,single-session-preference,120,1,0,none,190000,calibration
LM_0204,0,64.7,single-session-preference,120,1,0,none,190000,calibration
LM_0206,0,65.9,single-session-preference,120,1,0,none,190000,calibration
LM_0207,0,66.3,single-session-preference,120,1,0,none,190000,calibration
LM_0211,0,67.3,single-session-preference,120,1,0,none,190000,calibration
LM_0220,0,67.7,single-session-preference,120,1,0,none,190000,calibration
LM_0221,0,68.6,single-session-preference,120,1,0,none,190000,calibration
LM_0222,1,69.3,single-session-preference,120,1,0,none,190000,calibration
LM_0225,1,69.6,single-session-preference,120,1,0,none,190000,calibration
LM_0226,0,69.9,single-session-preference,120,1,0,none,190000,calibration
LM_0227,0,70.6,single-session-preference,120,1,0,none,190000,calibration
LM_0228,1,71.2,single-session-preference,120,1,0,none,190000,calibration
LM_0231,0,71.9,single-session-assistant,120,1,0,none,190000,calibration
LM_0232,1,72.3,single-session-assistant,120,1,0,none,190000,calibration
LM_0233,1,72.6,single-session-assistant,120,1,0,none,190000,calibration
LM_0234,0,73.1,single-session-assistant,120,1,0,none,190000,calibration
LM_0235,1,73.5,single-session-assistant,120,1,0,none,190000,calibration
LM_0237,0,73.9,single-session-assistant,120,1,0,none,190000,calibration
LM_0241,1,74.2,single-session-assistant,120,1,0,none,190000,calibration
LM_0242,0,74.6,single-session-assistant,120,1,0,none,190000,calibration
LM_0243,0,75.1,single-session-assistant,120,1,0,none,190000,calibration
LM_0244,1,75.5,single-session-assistant,120,1,0,none,190000,calibration
LM_0245,1,75.8,single-session-assistant,120,1,0,none,190000,calibration
LM_0246,1,76.2,single-session-assistant,120,1,0,none,190000,calibration
LM_0247,1,76.5,single-session-assistant,120,1,0,none,190000,calibration
LM_0250,0,76.8,single-session-assistant,120,1,0,none,190000,calibration
LM_0252,0,77.2,single-session-assistant,120,1,0,none,190000,calibration
LM_0253,1,77.7,single-session-assistant,120,1,0,none,190000,calibration
LM_0254,0,78.1,single-session-assistant,120,1,0,none,190000,calibration
LM_0256,1,78.5,single-session-assistant,120,1,0,none,190000,calibration
LM_0260,1,79.0,single-session-assistant,120,1,0,none,190000,calibration
LM_0262,1,79.4,single-session-assistant,120,1,0,none,190000,calibration
LM_0266,1,79.8,single-session-assistant,120,1,0,none,190000,calibration
LM_0267,1,80.1,single-session-assistant,120,1,0,none,190000,calibration
LM_0268,1,80.4,single-session-assistant,120,1,0,none,190000,calibration
LM_0270,1,80.7,single-session-assistant,120,1,0,none,190000,calibration
LM_0271,0,81.0,single-session-assistant,120,1,0,none,190000,calibration
LM_0275,1,81.3,single-session-assistant,120,1,0,none,190000,calibration
LM_0277,1,81.6,single-session-assistant,120,1,0,none,190000,calibration
LM_0279,1,82.0,single-session-assistant,120,1,0,none,190000,calibration
LM_0283,1,82.4,single-session-assistant,120,1,0,none,190000,calibration
LM_0284,1,82.9,single-session-assistant,120,1,0,none,190000,calibration
LM_0286,0,83.3,single-session-user,120,1,0,none,190000,calibration
LM_0290,1,83.9,single-session-user,120,1,0,none,190000,calibration
LM_0291,1,84.3,single-session-user,120,1,0,none,190000,calibration
